municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Tontitown,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Toppenish,13,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 5, ""weak"": 2}","{""context_only"": 3, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Towamencin,5,"{""moderate"": 1, ""weak"": 4}","{""context_only"": 2, ""quantitative_compensation_claim"": 3}"
Treasure Island,26,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 4, ""weak"": 13}","{""context_only"": 10, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Tremonton,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""quantitative_compensation_claim"": 5}"
Trenton,12,"{""moderate"": 2, ""not_supported"": 4, ""weak"": 6}","{""context_only"": 7, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Trinidad,29,"{""moderate"": 8, ""not_supported"": 6, ""strong"": 5, ""weak"": 10}","{""context_only"": 12, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
Troy,12,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 3, ""weak"": 4}","{""context_only"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Trumbull,3,"{""strong"": 3}","{""quantitative_compensation_claim"": 3}"
Tuckahoe,7,"{""not_supported"": 1, ""strong"": 2, ""weak"": 4}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Tucson,11,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 1, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Tucumcari,2,"{""not_supported"": 2}","{""not_claim_ready"": 2}"
Tularosa,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 2, ""documentary_mechanism_claim"": 1}"
Turner,4,"{""strong"": 1, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Twin Lakes,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Twinsburg,69,"{""moderate"": 14, ""not_supported"": 7, ""strong"": 13, ""weak"": 35}","{""context_only"": 23, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 9, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 23, ""source_navigation_claim"": 2}"
Union,4,"{""moderate"": 3, ""strong"": 1}","{""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Unionville,4,"{""strong"": 3, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 3}"
University Park,2,"{""weak"": 2}","{""context_only"": 2}"
Upper Chichester,2,"{""not_supported"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Upper Gwynedd,16,"{""moderate"": 3, ""strong"": 8, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 4}"
Upper Saucon,2,"{""weak"": 2}","{""context_only"": 2}"
Upper St. Clair,12,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 7}","{""context_only"": 7, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Uvalde,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 2}","{""context_only"": 5, ""quantitative_compensation_claim"": 2}"
Vallejo,16,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 4, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 9}"
Van Buren charter,20,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 4, ""weak"": 7}","{""context_only"": 11, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Vancouver,48,"{""moderate"": 13, ""not_supported"": 2, ""strong"": 14, ""weak"": 19}","{""context_only"": 15, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 14}"
Ventnor City,15,"{""moderate"": 7, ""strong"": 4, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Vernon,9,"{""moderate"": 2, ""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""quantitative_compensation_claim"": 5}"
Verona,12,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 4, ""weak"": 4}","{""context_only"": 3, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 5}"
Versailles,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Viborg,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Victor,8,"{""not_supported"": 1, ""strong"": 5, ""weak"": 2}","{""context_only"": 3, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Vienna,4,"{""strong"": 4}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Vilonia,3,"{""moderate"": 1, ""strong"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Vine Grove,4,"{""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Vinton,6,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Virginia,31,"{""moderate"": 4, ""not_supported"": 4, ""strong"": 11, ""weak"": 12}","{""context_only"": 7, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 11}"
Viroqua,17,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 8, ""weak"": 2}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Wabash,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Waconia,10,"{""moderate"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Wagner,2,"{""strong"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Waite Park,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 2}"
Waldwick,4,"{""strong"": 2, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Walhalla,4,"{""not_supported"": 1, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 1}"
Walker,5,"{""strong"": 3, ""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Walled Lake,29,"{""moderate"": 9, ""not_supported"": 1, ""strong"": 5, ""weak"": 14}","{""context_only"": 10, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 8, ""quantitative_compensation_claim"": 7}"
Wallingford,12,"{""moderate"": 2, ""strong"": 4, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Walton,5,"{""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Wappingers Falls,1,"{""weak"": 1}","{""context_only"": 1}"
Warden,2,"{""weak"": 2}","{""context_only"": 2}"
Wareham,8,"{""moderate"": 5, ""not_supported"": 1, ""weak"": 2}","{""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Warren,8,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 2, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Washington,56,"{""moderate"": 13, ""not_supported"": 7, ""strong"": 11, ""weak"": 25}","{""context_only"": 21, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 17, ""source_navigation_claim"": 2}"
Washington Grove,4,"{""moderate"": 1, ""strong"": 3}","{""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Washington Terrace,5,"{""moderate"": 1, ""strong"": 1, ""weak"": 3}","{""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Watchung,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 5, ""quantitative_compensation_claim"": 5}"
Waterboro,4,"{""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""documentary_mechanism_claim"": 1}"
Waterford charter,4,"{""strong"": 4}","{""quantitative_compensation_claim"": 4}"
Waterloo,34,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 9, ""weak"": 16}","{""context_only"": 16, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 11}"
Watertown,7,"{""moderate"": 3, ""strong"": 2, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Watervliet,24,"{""moderate"": 10, ""not_supported"": 1, ""strong"": 5, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Wauconda,22,"{""moderate"": 2, ""not_supported"": 5, ""strong"": 4, ""weak"": 11}","{""context_only"": 8, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 8}"
Waupaca,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Waycross,2,"{""moderate"": 1, ""strong"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Wayne,12,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 9}","{""context_only"": 8, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Waynesboro,12,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Waynesville,11,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 3, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 6}"
Weare,17,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 3, ""weak"": 8}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Weatherford,9,"{""moderate"": 4, ""strong"": 2, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
Weathersfield,14,"{""moderate"": 3, ""not_supported"": 6, ""strong"": 2, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 2}"
Webb City,11,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 2, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 2}"
Webster,2,"{""not_supported"": 1, ""strong"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Webster City,4,"{""moderate"": 2, ""strong"": 2}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Wellington,3,"{""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Wells,6,"{""moderate"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 2}"
Wellton,7,"{""moderate"": 3, ""strong"": 3, ""weak"": 1}","{""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1}"
West Bloomfield charter,53,"{""moderate"": 10, ""not_supported"": 3, ""strong"": 13, ""weak"": 27}","{""context_only"": 22, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 9, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 12}"
West Bountiful,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
West Columbia,5,"{""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
West Greenwich,7,"{""weak"": 7}","{""context_only"": 6, ""quantitative_compensation_claim"": 1}"
West Lafayette,7,"{""moderate"": 2, ""strong"": 3, ""weak"": 2}","{""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
West Long Branch,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
West Manchester,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
West Miami,2,"{""moderate"": 1, ""weak"": 1}","{""documentary_mechanism_claim"": 2}"
West Park,6,"{""moderate"": 4, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""quantitative_compensation_claim"": 4}"
West Plains,4,"{""not_supported"": 4}","{""context_only"": 3, ""not_claim_ready"": 1}"
West Salem,7,"{""not_supported"": 2, ""strong"": 4, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
West University Place,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
West Wendover,31,"{""moderate"": 6, ""not_supported"": 6, ""strong"": 12, ""weak"": 7}","{""context_only"": 8, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 14}"
West Yellowstone,36,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 17, ""weak"": 10}","{""context_only"": 10, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 14}"
Westchester,61,"{""moderate"": 13, ""not_supported"": 8, ""strong"": 19, ""weak"": 21}","{""context_only"": 15, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 7, ""quantitative_compensation_claim"": 27}"
Westerly,13,"{""not_supported"": 3, ""strong"": 5, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 2}"
Westford,10,"{""moderate"": 1, ""strong"": 4, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Westlake,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Westminster,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Wharton,7,"{""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 4, ""quantitative_compensation_claim"": 3}"
White Bluff,2,"{""not_supported"": 2}","{""context_only"": 2}"
White City metro,6,"{""strong"": 1, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
White House,7,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 4}","{""context_only"": 5, ""documentary_mechanism_claim"": 2}"
White Mountain,13,"{""moderate"": 2, ""strong"": 6, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 6, ""quantitative_compensation_claim"": 4}"
White Oak,1,"{""weak"": 1}","{""context_only"": 1}"
Whitehall,8,"{""moderate"": 2, ""strong"": 5, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 6}"
Whitestown,17,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 5, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Whitewood,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Whittier,3,"{""moderate"": 2, ""not_supported"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Wilder,1,"{""weak"": 1}","{""context_only"": 1}"
Willamina,12,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 4, ""weak"": 2}","{""context_only"": 6, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Willard,14,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 6, ""weak"": 4}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 4}"
Willcox,5,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Williams,6,"{""moderate"": 3, ""strong"": 1, ""weak"": 2}","{""quantitative_compensation_claim"": 6}"
Williamstown,11,"{""moderate"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 8}"
Williston,48,"{""moderate"": 15, ""not_supported"": 6, ""strong"": 11, ""weak"": 16}","{""context_only"": 21, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 16, ""source_navigation_claim"": 1}"
Wilmington,3,"{""strong"": 1, ""weak"": 2}","{""quantitative_compensation_claim"": 3}"
Wilmore,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Wilton,17,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 3, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 7}"
Winchester,26,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 7, ""weak"": 13}","{""context_only"": 3, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10, ""source_navigation_claim"": 1}"
Windham,25,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 10, ""weak"": 9}","{""context_only"": 9, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Windsor Locks,12,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 1, ""weak"": 6}","{""context_only"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Winfield,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Winnfield,7,"{""moderate"": 2, ""not_supported"": 3, ""weak"": 2}","{""context_only"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Winslow,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Winterport,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Winterset,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
